Id,SalePrice
1461,126542.3062
1462,153812.1125
1463,182234.9937
1464,193150.5838
1465,211620.9674
1466,183140.2965
1467,181189.9499
1468,176063.5079
1469,183562.504
1470,123926.3924
1471,199306.2057
1472,98174.05679
1473,109876.894
1474,167417.4485
1475,140483.5433
1476,380335.25
1477,247541.1365
1478,303217.3238
1479,293576.2708
1480,442292.89
1481,314978.3736
1482,233470.1399
1483,180804.6143
1484,180794.8385
1485,177121.5262
1486,214515.8027
1487,335043.7
1488,249977.8702
1489,211076.3702
1490,209637.1091
1491,194019.6891
1492,108911.3345
1493,179188.8996
1494,286764.0138
1495,304913.4638
1496,231137.1854
1497,212624.1027
1498,161169.8342
1499,162073.8342
1500,158138.3842
1501,173988.5454
1502,151644.8537
1503,302936.75
1504,241518.4504
1505,223236.1675
1506,187394.0136
1507,239475.095
1508,198151.096
1509,163736.1858
1510,150336.5693
1511,151355.7593
1512,178118.0374
1513,149338.1804
1514,158098.025
1515,181380.7217
1516,163541.4429
1517,155249.2103
1518,129461.3692
1519,233787.4372
1520,139058.8559
1521,140396.2975
1522,173733.586
1523,111074.1663
1524,119620.5687
1525,127618.2091
1526,127555.0475
1527,106697.6075
1528,134377.1026
1529,135186.2094
1530,174317.4072
1531,132599.675
1532,107450.2781
1533,128328.4298
1534,120164.5881
1535,160930.7967
1536,115981.8243
1537,99967.75087
1538,187329.675
1539,243821.0571
1540,124917.1978
1541,160021.7717
1542,148338.7735
1543,230032.345
1544,88072.69104
1545,109641.3983
1546,128472.5651
1547,145416.7144
1548,141549.7106
1549,119651.621
1550,154109.8356
1551,124622.2
1552,148059.695
1553,139949.5073
1554,119359.6936
1555,163572.502
1556,110056.0301
1557,134394.5018
1558,105381.3344
1559,114675.7743
1560,154350.556
1561,157082.3717
1562,128442.3752
1563,131596.9173
1564,169139.2647
1565,158452.1095
1566,211378.7001
1567,84463.81434
1568,229802.5317
1569,155823.4712
1570,128198.4377
1571,134096.2603
1572,143658.995
1573,235870.7919
1574,131048.1009
1575,219962.556
1576,217347.9717
1577,209551.3735
1578,153914.9378
1579,145610.5036
1580,205403.09
1581,142624.6262
1582,129143.4229
1583,364575.04
1584,258765.79
1585,142440.7344
1586,80772.50667
1587,103697.4644
1588,152772.4418
1589,107545.459
1590,139230.127
1591,102132.4332
1592,131096.2105
1593,117211.5467
1594,130090.424
1595,139526.4387
1596,225032.5
1597,151250.7867
1598,185556.0626
1599,216860.7074
1600,202774.1583
1601,77611.25
1602,118429.001
1603,104768.1104
1604,313674.925
1605,257687.6206
1606,174010.2681
1607,179134.1532
1608,220496.675
1609,209578.3962
1610,158922.3236
1611,147116.7132
1612,160271.9661
1613,167139.7959
1614,130075.1304
1615,93674.5466
1616,91625.8466
1617,104689.6689
1618,129372.1219
1619,134405.2022
1620,157839.5655
1621,142224.1176
1622,159588.7348
1623,310376.365
1624,224918.602
1625,128240.5518
1626,175292.8123
1627,192459.7189
1628,296149.3549
1629,181639.9392
1630,377323.125
1631,225933.5273
1632,247963.0172
1633,176446.6577
1634,186786.7973
1635,181972.8245
1636,166888.8634
1637,170840.4259
1638,223117.1567
1639,185969.8508
1640,253177.2958
1641,205618.1519
1642,232780.7303
1643,240827.4217
1644,233419.7342
1645,181479.935
1646,157922.2152
1647,166405.8327
1648,145498.5451
1649,138680.6714
1650,122354.1858
1651,124495.8676
1652,99921.27449
1653,105199.0569
1654,172681.1041
1655,150637.969
1656,163775.565
1657,165959.3053
1658,174922.0043
1659,143014.5239
1660,151300.4668
1661,462760.175
1662,393608.31
1663,395135.555
1664,442012.81
1665,316514.805
1666,352341.3
1667,377077.455
1668,334242.165
1669,302497.6275
1670,351217.61
1671,255951.247
1672,459265.155
1673,304445.0988
1674,257175.3113
1675,194257.0574
1676,192969.8614
1677,220417.3791
1678,422085.535
1679,390284.985
1680,333076.725
1681,283565.385
1682,315859.7138
1683,188200.6019
1684,180015.1686
1685,174478.7218
1686,177763.2891
1687,174444.9396
1688,195720.6599
1689,192998.2662
1690,191814.3831
1691,172932.1465
1692,274129.2851
1693,174145.3631
1694,183418.5134
1695,173764.8289
1696,287923.88
1697,175125.0621
1698,378617.48
1699,332371.2233
1700,257363.3756
1701,261963.0041
1702,258126.4173
1703,255290.7104
1704,342381.8293
1705,242795.6008
1706,439404.335
1707,226033.5269
1708,220631.9219
1709,275348.1908
1710,232516.7493
1711,265494.6537
1712,260775.2367
1713,258243.23
1714,221436.1039
1715,208434.6385
1716,206186.421
1717,182458.2528
1718,146322.45
1719,211733.5811
1720,252853.0739
1721,174875.2779
1722,120244.1967
1723,157810.0811
1724,233804.4831
1725,233918.7475
1726,191133.2415
1727,175834.8077
1728,182876.986
1729,170020.4255
1730,169891.7957
1731,122843.4691
1732,132449.1837
1733,129786.023
1734,138875.3918
1735,135682.6963
1736,116092.4368
1737,377061.245
1738,223402.3115
